date, pm25, pm10, o3, no2, so2, co
2019/7/15, 17, 17, 4, 3, , 8
2019/7/16, 25, 20, 2, 7, , 5
2019/7/17, 30, 16, 3, 4, , 4
2019/7/18, 24, 13, 5, 3, , 1
2019/7/19, 17, 13, 4, 3, , 1
2019/7/20, 21, 12, 5, 2, , 1
2019/7/21, 16, 14, 5, 2, , 1
2019/7/22, 19, 16, 3, 4, , 3
2019/7/23, 29, 16, 4, 4, , 2
2019/7/24, 33, 17, 7, 3, , 3
2019/7/25, 21, 21, 11, 4, , 3
2019/7/26, 34, 17, 7, 4, , 3
2019/7/27, 21, 22, 9, 3, , 1
2019/7/28, 37, 20, 7, 3, , 1
2019/7/29, 30, 16, 4, 4, , 3
2019/7/30, 25, 18, 5, 4, , 5
2019/7/31, 25, 16, 9, 4, , 3
2019/8/1, 21, 19, 7, 5, , 3
2019/8/2, 30, 21, 6, 5, , 3
2019/8/3, 36, 19, 8, 4, , 3
2019/8/4, 30, 15, 12, 3, , 2
2019/8/5, 22, 16, 14, 3, , 1
2019/8/6, 32, 19, 12, 3, , 2
2019/8/7, 40, 15, 12, 3, , 2
2019/8/8, 20, 21, 7, 5, , 5
2019/8/9, 42, 19, 8, 4, , 2
2019/8/10, 36, 16, 9, 3, , 2
2019/8/11, 27, 13, 9, 2, , 1
2019/8/12, 19, 12, 9, 3, , 2
2019/8/13, 20, 17, 6, 5, , 2
2019/8/14, 32, 19, 25, 4, , 4
2019/8/15, 36, 29, 23, 4, , 5
2019/8/16, 74, 53, 3, 14, , 8
2019/8/17, 122, 47, 9, 12, , 7
2019/8/18, 97, 21, 10, 4, , 7
2019/8/19, 37, 14, 15, 3, , 1
2019/8/20, 17, 20, 12, 5, , 4
2019/8/21, 28, 15, 16, 3, , 7
2019/8/22, 23, 23, 11, 9, , 4
2019/8/23, 45, 19, 13, 4, , 2
2019/8/24, 27, 13, 11, 3, , 1
2019/8/25, 18, 15, 14, 4, , 2
2019/8/26, 17, 18, 11, 4, , 3
2019/8/27, 28, 18, 13, 4, , 2
2019/8/28, 24, 17, 16, 3, , 2
2019/8/29, 24, 16, 22, 3, , 2
2019/8/30, 22, 22, 25, 7, , 10
2019/8/31, 34, 20, 17, 6, , 10
2019/9/1, 27, 13, 21, 5, , 5
2019/9/2, 19, 17, 15, 5, , 7
2019/9/3, 21, 21, 21, 5, , 13
2019/9/4, 24, 17, 17, 3, , 3
2019/9/5, 22, 15, 25, 4, , 4
2019/9/6, 27, 17, 17, 6, , 6
2019/9/7, 25, 16, 19, 5, , 5
2019/9/8, 21, 13, 19, 3, , 2
2019/9/9, 17, 14, 19, 4, , 5
2019/9/10, 18, 14, 4, 5, , 5
2019/9/11, 17, 17, 7, 5, , 7
2019/9/12, 23, 18, 8, 5, , 4
2019/9/13, 20, 17, 9, 3, , 4
